country_code,weights_name,n_edges,signed_correlation_sum,absolute_correlation_sum,mean_correlation,mean_absolute_correlation,min_correlation,max_correlation,std_correlation
AT,correlation_AT,190,13.387337406260443,18.463658616049173,0.07045967055926548,0.09717715061078512,-0.30342500001358436,0.49244853451533244,0.09999412078607778
BE,correlation_BE,190,12.629549627783412,15.534566939607824,0.06647131383043901,0.08176087862951487,-0.14552018567747252,0.32677265712606995,0.07469616914149481
CH,correlation_CH,190,17.145201048952096,20.54498865159251,0.09023790025764261,0.10813151921890796,-0.1693913668987875,0.3848564856637457,0.09578271815460103
CZ,correlation_CZ,190,4.082024579042258,13.091295035087558,0.021484339889696096,0.06890155281625031,-0.22836794310089786,0.29088779931245656,0.0876940578848905
DE,correlation_DE,190,14.718068502775843,17.282253336622205,0.07746351843566233,0.09095922808748529,-0.11534613254900188,0.31569283700545014,0.08245502731707345
EE,correlation_EE,190,4.5521157158220875,12.61789416888255,0.023958503767484672,0.06640996930990815,-0.28638572093398434,0.2814269029670345,0.08332967658186062
ES,correlation_ES,190,15.06422748155062,16.95631892192695,0.07928540779763485,0.08924378379961553,-0.1691858501139704,0.3490892363674637,0.07583549073745725
FI,correlation_FI,190,14.635052068618792,18.15015274179256,0.07702658983483575,0.09552711969364505,-0.18256713014469259,0.340399892477944,0.08564009784993788
FR,correlation_FR,190,14.19819187956068,16.331721746915516,0.07472732568189831,0.08595643024692377,-0.1314685489415478,0.3549709875609142,0.077616943482573
GB,correlation_GB,190,16.053707054095277,18.487540544475785,0.08449319502155409,0.09730284497092519,-0.10441354055083887,0.39659205020195315,0.08179206842028947
HU,correlation_HU,190,2.328236487485201,15.742672884174887,0.012253876249922111,0.08285617307460466,-0.3220155367367702,0.3704984145935019,0.10990623288629152
IE,correlation_IE,190,9.021782744092018,14.001162923702168,0.047483067074168515,0.07369033117737983,-0.18661439458315376,0.37489390193905947,0.08129492607677608
IL,correlation_IL,190,4.046403347776234,16.393488625142258,0.021296859725138076,0.0862815190796961,-0.25376881427017406,0.35758859843639446,0.10832699749506972
IS,correlation_IS,190,14.048467948836052,17.571492690500982,0.07393930499387395,0.09248154047632096,-0.14922197583412333,0.4332147460233499,0.09044943493186144
IT,correlation_IT,190,9.679551585994272,16.01062917345099,0.05094500834733827,0.08426646933395258,-0.3151202689880633,0.38212635246325694,0.09620482572504109
LT,correlation_LT,190,2.0241359739518194,16.416620736225916,0.010653347231325366,0.08640326703276797,-0.47661473349709454,0.3891638681363244,0.11415885347848546
NL,correlation_NL,190,14.293247463163201,16.200289513329643,0.07522761822717475,0.08526468164910339,-0.11565670181645868,0.346686430953884,0.07175391833120348
NO,correlation_NO,190,15.329305115404894,18.277462561989324,0.08068055323897312,0.09619717137889118,-0.10995398731960085,0.3472121325776716,0.0889689090282373
PL,correlation_PL,190,4.8313968895167605,13.202401198207284,0.025428404681667162,0.06948632209582781,-0.16576569662753624,0.2921233686826482,0.08549104318776811
PT,correlation_PT,190,7.760632109990814,12.603510715575592,0.04084543215784639,0.06633426692408206,-0.15957638941125524,0.3860722333388916,0.07540611161376842
RU,correlation_RU,190,1.3658641971377716,13.26242932593958,0.007188758932304061,0.06980225961020832,-0.24782397453517294,0.28072945643946584,0.0900419349698829
SE,correlation_SE,190,16.36060076967804,19.208030800330448,0.08610842510356863,0.10109489894910763,-0.1023578472062647,0.4208208114883686,0.08964058515768382
SI,correlation_SI,190,6.641973143840177,11.266954014192535,0.03495775338863251,0.059299757969434395,-0.1206821774628908,0.3787838455670382,0.07230253655192667
