country,network_type,flipped_dimension,file_name,number_of_edges,total_triangles,imbalanced_triangles,ratio_imbalanced,edge_weight_sum
CZ,one_variable_flipped,left_right_identification,CZ_left_right_identification_flipped.graphml,112,246,118,0.479675,9.521563
CZ,one_variable_flipped,welfare_chauvinism,CZ_welfare_chauvinism_flipped.graphml,110,223,105,0.470852,9.012938
CZ,original,,CZ.graphml,112,244,113,0.463115,9.116196
DE,one_variable_flipped,anti_basic_income,DE_anti_basic_income_flipped.graphml,111,218,70,0.321101,8.127108
DE,one_variable_flipped,anti_climate_ban_appliances,DE_anti_climate_ban_appliances_flipped.graphml,114,258,76,0.294574,8.541218
DE,one_variable_flipped,anti_climate_change_renewables,DE_anti_climate_change_renewables_flipped.graphml,114,241,77,0.319502,8.341806
DE,one_variable_flipped,anti_climate_change_taxes,DE_anti_climate_change_taxes_flipped.graphml,113,240,77,0.320833,8.347432
DE,one_variable_flipped,anti_economic_interventionism,DE_anti_economic_interventionism_flipped.graphml,119,286,86,0.300699,8.670531
DE,one_variable_flipped,anti_egalitarianism,DE_anti_egalitarianism_flipped.graphml,112,241,69,0.286307,8.105588
DE,one_variable_flipped,anti_immigration,DE_anti_immigration_flipped.graphml,116,265,89,0.335849,8.684015
DE,one_variable_flipped,anti_lgbt,DE_anti_lgbt_flipped.graphml,115,245,76,0.310204,8.565127
DE,one_variable_flipped,anti_libertarianism,DE_anti_libertarianism_flipped.graphml,107,199,61,0.306533,8.344188
DE,one_variable_flipped,anti_social_benefits_low_income,DE_anti_social_benefits_low_income_flipped.graphml,101,170,50,0.294118,8.128877
DE,one_variable_flipped,anti_social_benefits_parents,DE_anti_social_benefits_parents_flipped.graphml,110,227,67,0.295154,7.829735
DE,one_variable_flipped,authoritarianism,DE_authoritarianism_flipped.graphml,109,211,59,0.279621,8.330214
DE,one_variable_flipped,benefits_harm_economy,DE_benefits_harm_economy_flipped.graphml,109,202,57,0.282178,8.339118
DE,one_variable_flipped,benefits_harm_society,DE_benefits_harm_society_flipped.graphml,111,217,66,0.304147,8.359368
DE,one_variable_flipped,climate_skepticism,DE_climate_skepticism_flipped.graphml,107,199,56,0.281407,8.211504
DE,one_variable_flipped,educational_spending,DE_educational_spending_flipped.graphml,110,212,58,0.273585,8.401747
DE,one_variable_flipped,euroscepticism,DE_euroscepticism_flipped.graphml,112,237,70,0.295359,8.274400
DE,one_variable_flipped,gender_inequality,DE_gender_inequality_flipped.graphml,107,201,60,0.298507,8.113930
DE,one_variable_flipped,left_right_identification,DE_left_right_identification_flipped.graphml,106,194,52,0.268041,8.196565
DE,one_variable_flipped,welfare_chauvinism,DE_welfare_chauvinism_flipped.graphml,118,278,99,0.356115,8.440547
DE,original,,DE.graphml,114,255,78,0.305882,8.482904
EE,one_variable_flipped,anti_basic_income,EE_anti_basic_income_flipped.graphml,102,184,57,0.309783,7.781508
EE,one_variable_flipped,anti_climate_ban_appliances,EE_anti_climate_ban_appliances_flipped.graphml,89,114,37,0.324561,7.430879
EE,one_variable_flipped,anti_climate_change_renewables,EE_anti_climate_change_renewables_flipped.graphml,115,269,120,0.446097,9.695061
EE,one_variable_flipped,anti_climate_change_taxes,EE_anti_climate_change_taxes_flipped.graphml,98,158,49,0.310127,7.600404
EE,one_variable_flipped,anti_economic_interventionism,EE_anti_economic_interventionism_flipped.graphml,101,170,55,0.323529,7.756011
EE,one_variable_flipped,anti_egalitarianism,EE_anti_egalitarianism_flipped.graphml,89,117,35,0.299145,7.298228
EE,one_variable_flipped,anti_immigration,EE_anti_immigration_flipped.graphml,88,111,35,0.315315,7.619280
EE,one_variable_flipped,anti_lgbt,EE_anti_lgbt_flipped.graphml,91,119,37,0.310924,7.273157
EE,one_variable_flipped,anti_libertarianism,EE_anti_libertarianism_flipped.graphml,94,143,47,0.328671,7.392394
EE,one_variable_flipped,anti_social_benefits_low_income,EE_anti_social_benefits_low_income_flipped.graphml,91,126,41,0.325397,7.288177
EE,one_variable_flipped,anti_social_benefits_parents,EE_anti_social_benefits_parents_flipped.graphml,97,152,52,0.342105,7.590852
EE,one_variable_flipped,authoritarianism,EE_authoritarianism_flipped.graphml,93,137,39,0.284672,7.390576
EE,one_variable_flipped,benefits_harm_economy,EE_benefits_harm_economy_flipped.graphml,95,139,30,0.215827,7.566617
EE,one_variable_flipped,benefits_harm_society,EE_benefits_harm_society_flipped.graphml,97,146,48,0.328767,7.302093
EE,one_variable_flipped,climate_skepticism,EE_climate_skepticism_flipped.graphml,94,148,50,0.337838,7.719117
EE,one_variable_flipped,educational_spending,EE_educational_spending_flipped.graphml,100,174,61,0.350575,7.558307
EE,one_variable_flipped,euroscepticism,EE_euroscepticism_flipped.graphml,86,108,36,0.333333,7.396594
EE,one_variable_flipped,gender_inequality,EE_gender_inequality_flipped.graphml,98,160,57,0.356250,8.015518
