beta_internal,beta_external,metric,n_countries,pearson_r,pearson_p,spearman_rho,spearman_p,regression_coefficient,regression_intercept,in_sample_r2,loo_cv_r2,loo_cv_mae
0.5,0.5,three_negative_onnela_intensity_sum,23,-0.022903059004822368,0.9173859435537036,0.060785769090679266,0.7829198666288015,-0.0005610139063524585,0.35174450435696625,0.0005245501117798756,-0.11960526836717289,0.006082442564889543
0.5,0.5,ratio_three_negative,23,-0.05239314725115046,0.8123317377710967,0.055885289454625786,0.8000613379616317,-0.017939560955648762,0.3520344824324868,0.00274504187888136,-0.11971588897220253,0.006016756364411074
0.5,0.5,three_negative_absolute_weight_sum,23,-0.012972661205898933,0.9531532835965171,0.0919199435029784,0.6765804414570751,-9.102721127213245e-05,0.3516660548478945,0.00016828993876261134,-0.12214411187382002,0.006105058078465221
0.5,0.5,three_negative_edges,23,0.006083315641770587,0.9780228716817828,0.08406989113137131,0.7029234097530728,1.2253649129286167e-05,0.3515166226279132,3.700672919670911e-05,-0.13851348014859655,0.006156531603193453
0.5,0.5,ratio_imbalanced,23,-0.040998969309904564,0.8526512432678471,-0.025210087113626885,0.9090961409217451,-0.0044278675541993846,0.353100876002304,0.0016809154844757979,-0.1556688867818572,0.006105925951068101
0.5,0.5,total_triangles,23,0.1448398260962085,0.5096509276746221,0.07215221371739165,0.743547076432969,2.6153582491045576e-05,0.3473569699352105,0.02097857522357993,-0.16848501564291296,0.00637663176783697
0.5,0.5,imbalanced_absolute_weight_sum,23,0.15928297284735882,0.4678698407403871,0.10276679841897234,0.6407815347518422,0.00024275485315965656,0.3483767447187664,0.025371065439093288,-0.17010402425424176,0.006564915108524201
0.5,0.5,ratio_two_positive_one_negative,23,-0.03139851702003009,0.8869069062068085,-0.043478260869565216,0.8438440075057312,-0.0042995497318972006,0.35294450280581324,0.0009858668710551743,-0.17017988648427274,0.006151237513631225
0.5,0.5,imbalanced_onnela_intensity_sum,23,0.14140046455403238,0.5198595901503932,0.08300395256916995,0.7065268792142226,0.000724929449541857,0.3486798008600964,0.019994091376096645,-0.17302276282107631,0.006532625464874354
0.5,0.5,imbalanced_triangles,23,0.09530466012066705,0.6653321743357883,0.013349818257470603,0.9517928136793319,3.299159946908428e-05,0.34969691916302253,0.009082978240714912,-0.17815175811237727,0.0064011898773307496
0.5,0.5,two_positive_one_negative_absolute_weight_sum,23,0.18794802464841318,0.3904552498097941,0.07608695652173912,0.7300554425086555,0.00033215619087186276,0.347555968237187,0.03532445996924116,-0.1822979549109771,0.006624973105709726
0.5,0.5,two_positive_one_negative,23,0.10513484903631706,0.6330645823627473,0.01780416301209317,0.935736076407037,4.059371914252768e-05,0.3494385460457236,0.01105333648188922,-0.18291688729018296,0.00642328572047756
0.5,0.5,two_positive_one_negative_onnela_intensity_sum,23,0.16888714139681754,0.44109550977835005,0.07114624505928854,0.7470083093041772,0.0009999618216104203,0.34789675663659286,0.028522866529188007,-0.186004222160856,0.006600392743985596
0.5,2.0,ratio_three_negative,23,0.5146730988423671,0.011976567796285063,0.3456974984848091,0.10615520614031795,0.521897125015763,0.9737009359677367,0.26488839867200487,0.15440700102928884,0.016507454152949484
0.5,2.0,three_negative_onnela_intensity_sum,23,0.4228166581421504,0.0444225569203339,0.3316036671532178,0.12216686121335728,0.030672440780691812,0.9776430953212962,0.17877392640249634,-0.008307237343264218,0.017856352695757808
0.5,2.0,three_negative_absolute_weight_sum,23,0.4145753715528327,0.049194889119393105,0.3019520724748377,0.1614257012024214,0.008615128763391834,0.9780462379486797,0.17187273869816821,-0.01246423277130404,0.017949011200145457
0.5,2.0,three_negative_edges,23,0.4229406796191193,0.04435361063737322,0.404836559079044,0.0553375072676886,0.0025230198130100356,0.9764973117051031,0.17887881847668385,-0.013651527538132369,0.017512227779908202
0.5,2.0,ratio_imbalanced,23,0.21599639457642206,0.32224036321542904,0.16411272395537502,0.45430256865567653,0.06908508519279792,0.96334413056209,0.046654442470013935,-0.14563285585206298,0.019726272979707662
0.5,2.0,ratio_two_positive_one_negative,23,0.06773148953998699,0.7587923897306046,0.0691699604743083,0.7538218327580144,0.027467591476856224,0.9784591350093117,0.004587554675306138,-0.19628788760182436,0.020613561296331222
0.5,2.0,total_triangles,23,-0.028649962871023532,0.8967529627280737,0.0004941932446396689,0.9982144255876226,-1.532086789668595e-05,0.9897148958948556,0.0008208203725121876,-0.2161129022661059,0.021261311553577685
0.5,2.0,two_positive_one_negative,23,-0.037006055507071395,0.8668707701693504,0.10880321840723603,0.6211831255004229,-4.2315653838046345e-05,0.9894682219597772,0.0013694481441937079,-0.24121794642366323,0.021406178542702794
0.5,2.0,imbalanced_triangles,23,0.039506825061839584,0.857960101337025,0.1819530784721919,0.4060171076313923,4.050209389987122e-05,0.9849495164501314,0.0015607892264668521,-0.27097751856886143,0.021060192367405684
0.5,2.0,two_positive_one_negative_onnela_intensity_sum,23,-0.0027201583050821543,0.9901719922866477,0.12944664031620554,0.5560827674570141,-4.7697665791013e-05,0.9874227262366404,7.399261203855367e-06,-0.2757053865094803,0.021373747121629583
0.5,2.0,two_positive_one_negative_absolute_weight_sum,23,-0.0255191979103086,0.9079860964489609,0.12944664031620554,0.5560827674570141,-0.00013356347766598338,0.9888611852551271,0.0006512294619853698,-0.27915034502321046,0.021520952927776636
0.5,2.0,imbalanced_onnela_intensity_sum,23,0.08616946471571689,0.6958437963516675,0.19071146245059292,0.3833965923148731,0.0013083213073251743,0.9820335683278966,0.007425176649392906,-0.30325818272555916,0.021032209926687494
0.5,2.0,imbalanced_absolute_weight_sum,23,0.06806239300800734,0.7576481450863711,0.1808300395256917,0.4089699610784203,0.00030720048385730154,0.9832080573111306,0.004632489341976798,-0.3128730265282702,0.02112398080882273
2.0,0.5,ratio_imbalanced,23,-0.7047171361101702,0.00017377414867880182,-0.7187346404551666,0.00011174744010089075,-7.841648908304889,4.836817071017429,0.49662624192731997,0.42183438379980454,0.5041506377500959
2.0,0.5,three_negative_absolute_weight_sum,23,-0.6642813557804457,0.0005463570762999372,-0.7516679250969364,3.549425464120816e-05,-0.4802474902060634,2.636531748609674,0.44126971963750694,0.34728137653870783,0.5563347123495461
2.0,0.5,three_negative_onnela_intensity_sum,23,-0.6613041390389818,0.00059048786184765,-0.7299234223327908,7.708360476954069e-05,-1.6689843122616197,2.6462163320877714,0.437323164310089,0.34550849331158606,0.5568648856241157
2.0,0.5,ratio_three_negative,23,-0.6855595479644452,0.00030568277172467087,-0.7626116490179908,2.3312903452818714e-05,-24.185406180865886,2.751375570047282,0.46999189380521433,0.3372262352731994,0.5414782876861252
2.0,0.5,three_negative_edges,23,-0.6090625778523815,0.00203839330269547,-0.6530429043240451,0.0007293618561065362,-0.12640314649379372,2.662193868587058,0.37095722374018814,0.2878473981923234,0.5651876910616171
2.0,0.5,ratio_two_positive_one_negative,23,-0.6183949355902914,0.0016597887785128247,-0.6363636363636364,0.001096914127959214,-8.72470282828162,4.915132118888478,0.38241229636372054,0.2857880787045033,0.575097108089132
2.0,0.5,imbalanced_onnela_intensity_sum,23,-0.42314757369695793,0.04423877973710457,-0.4871541501976285,0.018391469138369206,-0.22351549755301928,3.014374114883385,0.17905386912562227,0.04601808746672942,0.704026867152366
2.0,0.5,imbalanced_absolute_weight_sum,23,-0.41959046604788086,0.04624567000995165,-0.5019762845849802,0.014659377119177527,-0.06588629081230046,2.9899740328482722,0.17605615919827788,0.042792438952536704,0.7044335955930334
2.0,0.5,two_positive_one_negative_onnela_intensity_sum,23,-0.32886368341131955,0.12547222631006769,-0.43083003952569177,0.04013677411478548,-0.20061972458143787,2.8603257903905814,0.10815132226686042,-0.04720656704447612,0.754878137227336
2.0,0.5,two_positive_one_negative_absolute_weight_sum,23,-0.31923066760313124,0.13760521369766313,-0.43774703557312256,0.03670468816816287,-0.05812728933874539,2.825857494886017,0.10190821913834047,-0.05326017470691169,0.7569739884960047
2.0,0.5,imbalanced_triangles,23,-0.31121310473422115,0.14832435213294334,-0.3737949112091769,0.07891449209695085,-0.011099872477729734,2.7534036610672983,0.09685359655831316,-0.059482501844815294,0.7599141727230747
2.0,0.5,two_positive_one_negative,23,-0.23037304862179891,0.2902717110157354,-0.2818992476914752,0.1925178556197131,-0.009164624926971386,2.604550126433262,0.053071741531301786,-0.11870310500841907,0.7852249752060887
2.0,0.5,total_triangles,23,0.06285103752235896,0.7757243892035742,-0.029157401433740467,0.8949340299888107,0.0011693015408228357,1.9352981614740334,0.003950252917636732,-0.2053320255275879,0.8077480348734101
2.0,2.0,ratio_two_positive_one_negative,23,-0.5520336100228045,0.0063125110847970034,-0.5395256916996047,0.007884598952113147,-1.0640493453729551,1.62320382003195,0.3047411065948098,0.13871229566820542,0.08586975986175252
2.0,2.0,ratio_imbalanced,23,-0.5189068411829862,0.011177225532088879,-0.5086505811749424,0.013193902438555364,-0.7888482887929161,1.5556958004499697,0.26926430982650473,0.11598254993664525,0.08992215521894942
2.0,2.0,imbalanced_triangles,23,-0.34555007378457736,0.10631427595309821,-0.37280603578269755,0.07977323003530692,-0.0016837694781612642,1.3782899085711187,0.11940485349252661,-0.05860675623429179,0.09402997614715611
2.0,2.0,imbalanced_onnela_intensity_sum,23,-0.3208416015624307,0.13552004658195888,-0.3438735177865613,0.10813559417371388,-0.023153571449818746,1.3750273148172658,0.10293933329314575,-0.0655002293618665,0.09752700202438087
2.0,2.0,imbalanced_absolute_weight_sum,23,-0.3170538719572024,0.14045907807333124,-0.3339920948616601,0.11933740941269359,-0.006801646208754943,1.3721920957640215,0.10052315772305398,-0.06815441755401785,0.09745397659601293
2.0,2.0,two_positive_one_negative,23,-0.3304476063410265,0.12355369282975992,-0.3946589467680653,0.06237253768544422,-0.001795962093554086,1.3770032597850026,0.10919562053651388,-0.08244265701932818,0.09434628415885939
2.0,2.0,two_positive_one_negative_onnela_intensity_sum,23,-0.30653659727466187,0.1548425943483088,-0.3557312252964427,0.09573462668647759,-0.025547686301825162,1.376570950472771,0.09396468546872827,-0.08712986370769182,0.09761089279737405
2.0,2.0,two_positive_one_negative_absolute_weight_sum,23,-0.2999199358567474,0.164405436716537,-0.3636363636363636,0.08807448930807436,-0.0074609190648695384,1.3728916020770223,0.08995196792431581,-0.09238120528011429,0.0976103982819574
2.0,2.0,three_negative_absolute_weight_sum,23,-0.2689261555572252,0.21467396755722562,-0.27477144401965586,0.20448960219850182,-0.0265618068021167,1.3111234570534467,0.0723212771427888,-0.14832064448745785,0.10232983886798186
2.0,2.0,three_negative_onnela_intensity_sum,23,-0.2648612470577928,0.2219526342415529,-0.25302694125551045,0.24406734092541946,-0.0913231667256928,1.3113503554301615,0.07015148019300887,-0.15726779894378984,0.10276766234493065
2.0,2.0,three_negative_edges,23,-0.2867841716111478,0.18459442066158613,-0.3087566835003339,0.15172351989330582,-0.008131350390874585,1.3174009159322169,0.08224516108669155,-0.16895338762134227,0.10180293517558628
2.0,2.0,total_triangles,23,-0.13260332749561637,0.5464074388732525,-0.2302940520020857,0.29044176292408835,-0.00033703889517889684,1.337032208516431,0.017583642462909665,-0.20372668851388553,0.10068766359037346
2.0,2.0,ratio_three_negative,23,-0.2580576218061834,0.23449786666899203,-0.3372899770624317,0.1155091552968954,-1.2437595314729197,1.3150379638445482,0.06659373617226261,-0.2496038729976151,0.10556449821926454
