country_code,weights_name,n_edges,signed_correlation_sum,absolute_correlation_sum,mean_correlation,mean_absolute_correlation,min_correlation,max_correlation,std_correlation
AT,AT,190,5.381426715001163,8.472268041934893,0.028323298500006124,0.04459088443123628,-0.28740929737267745,0.39301861994674075,0.07409692274377651
BE,BE,190,5.127039245810059,8.165435427655755,0.026984417083210838,0.04297597593503029,-0.18285890271379343,0.26955746734258956,0.06246978107771883
CH,CH,190,5.498902773781892,8.103154082144965,0.028941593546220484,0.04264817937971034,-0.1601499525627611,0.2887626847419693,0.06365051653002664
CZ,CZ,190,2.7140950642856407,8.905035837486867,0.014284710864661267,0.04686860967098351,-0.2950484510785984,0.24682926859744272,0.0714854177188482
DE,DE,190,5.490762593642411,7.895520674108724,0.028898750492854796,0.04155537196899328,-0.1617951031581174,0.2736686548076456,0.06079617639172084
EE,EE,190,2.3279013223110585,7.548594344295618,0.012252112222689782,0.03972944391734536,-0.29315155003158966,0.2609884799595111,0.06805580651039767
ES,ES,190,5.733521577202062,7.946738565706568,0.03017642935369506,0.04182493981950825,-0.1688403469342391,0.28338828962751844,0.0608192596244973
FI,FI,190,5.079694173241826,7.898566743531964,0.026735232490746455,0.04157140391332612,-0.16009548453905773,0.24640032918288174,0.06053935110349364
FR,FR,190,5.5178595472815335,8.006155623782908,0.02904136603832386,0.04213766117780478,-0.17733681520501327,0.33186872283184493,0.06351977365396519
GB,GB,190,5.866627732724066,8.526400192008186,0.03087698806696877,0.04487579048425361,-0.1655600918912141,0.30899924978984544,0.06402018587861438
HU,HU,190,1.5458094998764682,9.57865835774546,0.008135839473034043,0.050413991356555055,-0.3759633955954901,0.23789410186061938,0.07642192241271308
IE,IE,190,4.7309736708101395,9.689134900689599,0.024899861425316524,0.05099544684573473,-0.2125682041447633,0.3077420466238809,0.07159242799357775
IL,IL,190,3.1658889151057847,8.253882513070211,0.016662573237398868,0.043441486910895846,-0.3075270572753734,0.25643174185290074,0.06941579924470108
IS,IS,190,5.354619756043339,7.4363064284248175,0.02818220924233336,0.039138454886446405,-0.17628327137766842,0.2662459944672688,0.06322908107592223
IT,IT,190,4.107063453835395,8.681887411114051,0.02161612344123892,0.04569414426902132,-0.32280787909693986,0.3344313631751762,0.07479363419866271
LT,LT,190,1.9111218979993199,9.065741995147484,0.010058536305259578,0.04771443155340781,-0.36383511475124647,0.3620487809112342,0.08499774616222168
NL,NL,190,5.816266784521604,7.732899464416788,0.030611930444850548,0.040699470865351514,-0.10723561873603389,0.3042505298150341,0.062093896550191346
NO,NO,190,5.073405423511262,8.036532037739985,0.02670213380795401,0.042297537040736764,-0.20459961772422544,0.3480393579190566,0.0632098261257545
PL,PL,190,3.2596275314784062,7.865840984287751,0.017155934376202137,0.04139916307519869,-0.21064968839205664,0.2735696192913724,0.06620317392915598
PT,PT,190,4.175984145204231,7.731011833822352,0.02197886392212753,0.04068953596748606,-0.19240091140798815,0.2535169361081706,0.061294098042696706
RU,RU,190,1.4369510558191523,8.605805759207282,0.007562900293785012,0.04529371452214359,-0.2613572016891049,0.29185559024897556,0.07331047533194236
SE,SE,190,5.485018914612592,9.140590142916682,0.02886852060322417,0.0481083691732457,-0.19517691948275454,0.38819907101614826,0.06876618452881361
SI,SI,190,3.336179441368418,7.784963818010186,0.017558839165096936,0.04097349377900098,-0.16690158366874774,0.28429993363353695,0.06226453259761255
