country,ratio_three_negative_mean,ratio_three_negative_std,ratio_two_positive_one_negative_mean,ratio_two_positive_one_negative_std,ratio_imbalanced_mean,ratio_imbalanced_std,three_negative_absolute_weight_sum_mean,three_negative_absolute_weight_sum_std,two_positive_one_negative_absolute_weight_sum_mean,two_positive_one_negative_absolute_weight_sum_std,imbalanced_absolute_weight_sum_mean,imbalanced_absolute_weight_sum_std,three_negative_onnela_intensity_sum_mean,three_negative_onnela_intensity_sum_std,two_positive_one_negative_onnela_intensity_sum_mean,two_positive_one_negative_onnela_intensity_sum_std,imbalanced_onnela_intensity_sum_mean,imbalanced_onnela_intensity_sum_std
GB,0.056,0.029,0.225,0.037,0.281,0.035,2.111,1.210,8.478,2.200,10.589,2.615,0.632,0.357,2.532,0.663,3.165,0.787
RU,0.095,0.040,0.366,0.045,0.461,0.029,4.204,1.956,15.501,3.501,19.705,3.650,1.268,0.582,4.721,1.044,5.989,1.100
