country;party_id;vote_populist;vote_farright;vote_farleft;vote_other;vote_dontknow;vote_none;vote_loyalty;vote_voice
LT;4;1;1;0;0;0;0;0;1
LT;5;1;0;0;0;0;0;0;1
LT;6;0;0;0;0;0;0;1;0
LT;7;0;0;0;0;0;0;1;0
LT;8;1;0;0;0;0;0;0;1
LT;9;1;0;0;0;0;0;0;1
LT;10;0;0;0;0;0;0;1;0
LT;11;0;0;0;0;0;0;1;0
LT;12;0;0;0;0;0;0;1;0
LT;13;0;0;0;0;0;0;1;0
LT;14;0;0;0;0;0;0;1;0
LT;51;0;0;0;0;0;1;0;0
LT;52;0;0;0;0;1;0;1;0
LT;53;0;0;0;0;1;0;1;0
NL;1;0;0;0;0;0;0;1;0
NL;2;0;0;0;0;0;0;1;0
NL;3;1;1;0;0;0;0;0;1
NL;4;1;0;1;0;0;0;0;1
NL;5;0;0;0;0;0;0;1;0
NL;6;0;0;0;0;0;0;1;0
NL;7;0;0;0;0;0;0;1;0
NL;8;0;0;0;0;0;0;1;0
NL;9;0;0;0;0;0;0;1;0
NL;10;0;0;0;0;0;0;1;0
NL;11;0;0;0;0;0;0;1;0
NL;16;0;0;0;1;0;0;0;0
NO;1;0;0;1;0;0;0;0;1
NO;2;0;0;1;0;0;0;0;1
NO;3;0;0;0;0;0;0;1;0
NO;4;0;0;0;0;0;0;1;0
NO;5;0;0;0;0;0;0;1;0
NO;6;0;0;0;0;0;0;1;0
NO;7;0;0;0;0;0;0;1;0
NO;8;1;1;0;0;0;0;0;1
NO;9;1;0;0;0;0;0;0;1
NO;10;0;0;0;0;0;0;1;0
NO;11;0;0;0;1;0;0;0;0
PL;1;0;1;0;0;0;0;0;1
PL;2;1;1;0;0;0;0;0;1
PL;3;0;0;0;0;0;0;1;0
PL;4;0;0;0;0;0;0;1;0
PL;5;0;0;0;0;0;0;1;0
PL;6;1;1;0;0;0;0;0;1
PL;7;0;0;1;0;0;0;0;1
PL;8;0;0;0;0;0;0;1;0
PL;9;0;0;0;1;0;0;0;0
PT;1;0;0;0;0;0;0;1;0
PT;2;0;0;1;0;0;0;0;1
PT;3;0;0;1;0;0;0;0;1
PT;4;0;0;0;0;0;0;1;0
PT;5;0;0;0;0;0;0;1;0
PT;6;0;0;0;0;0;0;1;0
PT;7;0;0;0;0;0;0;1;0
PT;8;0;0;1;0;0;0;0;1
PT;9;0;0;0;0;0;0;1;0
PT;10;0;0;0;0;0;0;1;0
PT;11;0;1;0;0;0;0;0;1
PT;12;0;0;0;0;0;0;1;0
PT;13;0;0;0;0;0;0;1;0
PT;14;0;0;0;0;0;0;1;0
PT;15;0;0;0;0;0;0;1;0
PT;16;0;0;0;0;0;0;1;0
PT;17;0;0;0;0;0;1;0;0
PT;18;0;0;0;1;0;0;0;0
RU;1;0;0;0;0;0;0;1;0
RU;2;0;0;1;0;0;0;0;1
RU;4;0;0;1;0;0;0;0;1
RU;6;0;0;0;0;0;0;1;0
RU;8;0;0;0;0;0;0;1;0
RU;11;0;0;0;0;0;0;1;0
RU;12;0;0;0;0;0;0;1;0
RU;13;1;1;0;0;0;0;0;1
RU;15;0;0;0;0;0;0;1;0
RU;16;0;0;0;0;0;0;1;0
RU;17;0;0;0;0;0;0;1;0
RU;18;1;0;0;0;0;0;0;1
RU;20;0;0;1;0;0;0;0;1
RU;21;0;0;0;0;0;0;1;0
RU;55;0;0;0;0;0;1;0;0
SI;1;0;0;0;0;0;0;1;0
SI;2;0;0;0;0;0;0;1;0
SI;3;0;0;0;0;0;0;1;0
SI;4;0;0;0;0;0;0;1;0
SI;5;0;0;0;0;0;0;1;0
SI;6;1;1;0;0;0;0;0;1
SI;7;0;0;0;0;0;0;1;0
SI;8;0;0;0;0;0;0;1;0
SI;9;0;0;0;0;0;0;1;0
SI;10;0;0;0;0;0;0;1;0
SI;11;1;0;1;0;0;0;0;1
SI;12;0;0;0;1;0;0;0;0
ES;1;0;0;0;0;0;0;1;0
ES;2;0;0;0;0;0;0;1;0
ES;3;0;0;1;0;0;0;0;1
ES;4;1;0;1;0;0;0;0;1
ES;5;0;0;0;0;0;0;1;0
ES;6;0;0;1;0;0;0;0;1
ES;7;1;0;1;0;0;0;0;1
ES;8;0;0;0;0;0;0;1;0
ES;9;0;0;1;0;0;0;0;1
ES;10;0;0;0;0;0;0;1;0
ES;11;0;0;0;0;0;0;1;0
ES;12;1;0;1;0;0;0;0;1
ES;13;0;0;0;0;0;0;1;0
ES;14;0;0;1;0;0;0;0;1
ES;15;0;0;0;0;0;0;1;0
ES;16;0;0;0;0;0;0;1;0
ES;17;0;0;0;0;0;0;1;0
ES;18;0;0;0;0;0;0;1;0
ES;19;0;0;1;0;0;0;0;1
ES;50;0;0;0;1;0;0;0;0
ES;51;0;0;0;0;0;1;0;0
ES;52;0;0;0;0;0;1;0;0
SE;1;0;0;0;0;0;0;1;0
SE;2;0;0;0;0;0;0;1;0
SE;3;0;0;0;0;0;0;1;0
SE;4;0;0;0;0;0;0;1;0
SE;5;0;0;0;0;0;0;1;0
SE;6;0;0;0;0;0;0;1;0
SE;7;0;0;1;0;0;0;0;1
SE;8;0;0;0;0;0;0;1;0
SE;9;0;0;0;0;0;0;1;0
SE;10;1;1;0;0;0;0;0;1
SE;11;0;0;0;1;0;0;0;0
CH;1;1;1;0;0;0;0;0;1
CH;2;0;0;0;0;0;0;1;0
CH;3;0;0;0;0;0;0;1;0
CH;4;0;0;0;0;0;0;1;0
CH;5;0;0;0;0;0;0;1;0
CH;6;0;0;0;0;0;0;1;0
CH;7;0;0;0;0;0;0;1;0
CH;8;0;0;0;0;0;0;1;0
CH;9;1;0;0;0;0;0;0;1
CH;10;1;1;0;0;0;0;0;1
CH;11;0;0;1;0;0;0;0;1
CH;12;0;1;0;0;0;0;0;1
CH;14;0;0;1;0;0;0;0;1
CH;16;0;0;0;0;0;0;1;0
CH;18;0;0;0;1;0;0;0;0
CH;19;0;0;0;0;0;1;0;0
CH;55;0;0;0;0;0;1;0;0
GB;1;0;0;0;0;0;0;1;0
GB;2;0;0;0;0;0;0;1;0
GB;3;0;0;0;0;0;0;1;0
GB;4;0;0;0;0;0;0;1;0
GB;5;0;0;0;0;0;0;1;0
GB;6;0;0;0;0;0;0;1;0
GB;7;1;1;0;0;0;0;0;1
GB;8;0;0;0;1;0;0;0;0
GB;9;0;0;0;0;0;0;1;0
GB;10;0;0;0;0;0;0;1;0
GB;11;1;0;1;0;0;0;0;1
GB;12;0;0;0;0;0;0;1;0
GB;13;0;0;0;0;0;0;1;0
GB;14;0;0;0;0;0;0;1;0
GB;15;0;0;0;0;0;0;1;0
GB;16;0;0;0;0;0;0;1;0
GB;17;0;0;0;0;0;0;1;0
GB;18;0;0;0;1;0;0;0;0
